City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,baotou,40.6522,109.8222,26.9,44,90,3.94,CN,1691614813
83,kenai,60.5544,-151.2583,14.52,93,100,3.09,US,1691614864
84,yellowknife,62.456,-114.3525,21.29,43,75,7.72,CA,1691614748
85,susuman,62.7833,148.1667,7.98,83,90,0.85,RU,1691614619
86,mount isa,-20.7333,139.5,6.87,81,6,0.0,AU,1691614856
87,port lincoln,-34.7333,135.8667,10.96,69,70,4.53,AU,1691614692
88,newman,37.3138,-121.0208,32.91,14,0,3.87,US,1691614793
89,anadyr,64.75,177.4833,10.28,81,75,3.58,RU,1691614865
90,nasiriyah,31.0521,46.261,40.34,10,0,2.98,IQ,1691614865
91,arish,31.1316,33.7984,25.74,69,0,1.59,EG,1691614865
92,salinopolis,-0.6136,-47.3561,27.06,78,39,5.94,BR,1691614865
93,smithers,54.7804,-127.1743,17.18,72,75,3.09,CA,1691614866
94,puerto baquerizo moreno,-0.9,-89.6,27.55,69,75,6.69,EC,1691614866
95,ilhabela,-23.7781,-45.3581,20.1,92,100,5.42,BR,1691614866
96,yorkton,51.2167,-102.4677,17.91,55,100,2.57,CA,1691614866
97,corinto,37.9407,22.9573,24.94,62,2,0.8,GR,1691614867
98,ciudad lazaro cardenas,17.9583,-102.2,31.48,65,20,2.86,MX,1691614867
99,colonia,50.9333,6.95,17.7,75,0,2.06,DE,1691614867
100,la'ie,21.6477,-157.9253,28.89,68,71,0.45,US,1691614867
101,port elizabeth,-33.918,25.5701,17.16,77,0,7.72,ZA,1691614816
102,rio grande,-32.035,-52.0986,17.06,93,100,11.41,BR,1691614868
103,varadero,23.1536,-81.2514,30.22,79,1,7.4,CU,1691614801
104,papatowai,-46.5619,169.4708,2.68,87,95,2.61,NZ,1691614868
105,talara,-4.5772,-81.2719,27.42,65,0,6.9,PE,1691614868
106,bongouanou,6.6486,-4.1992,21.45,98,100,2.25,CI,1691614868
107,amga,60.8953,131.9608,12.49,68,68,1.36,RU,1691614868
108,kodiak,57.79,-152.4072,11.73,100,100,2.06,US,1691614869
109,i-n-salah,27.1935,2.4607,37.43,10,0,7.76,DZ,1691614781
110,labytnangi,66.6572,66.4183,9.55,80,7,3.1,RU,1691614594
111,badger,64.8,-147.5333,22.3,81,100,1.54,US,1691614783
112,gros islet,14.0667,-60.95,29.93,74,20,3.6,LC,1691614869
113,wailua homesteads,22.0669,-159.378,29.44,72,75,8.75,US,1691614869
114,whitehorse,60.7161,-135.0538,19.5,45,75,3.58,CA,1691614658
115,lebu,-37.6167,-73.65,11.71,94,100,10.58,CL,1691614870
116,wewak,-3.5534,143.6268,25.19,88,76,3.17,PG,1691614870
117,detroit lakes,46.8172,-95.8453,23.38,59,0,2.57,US,1691614729
118,kingston,17.997,-76.7936,32.53,72,20,9.26,JM,1691614657
119,biasca,46.3597,8.9697,21.36,77,13,3.98,CH,1691614870
120,constantia,44.1833,28.65,17.61,64,1,4.25,RO,1691614785
121,port mathurin,-19.6833,63.4167,22.95,63,0,7.4,MU,1691614871
122,minas de marcona,-15.2119,-75.1103,17.24,64,5,5.46,PE,1691614871
123,hindupur,13.8289,77.4933,24.07,75,92,3.18,IN,1691614871
124,san rafael del sur,11.8485,-86.4384,35.54,45,59,5.06,NI,1691614871
125,taber,49.8167,-112.1518,28.91,31,61,6.17,CA,1691614811
126,tiksi,71.6872,128.8694,16.46,52,8,3.17,RU,1691614877
127,lodwar,3.1191,35.5973,30.48,38,32,4.1,KE,1691614877
128,quesnel,52.9999,-122.5029,17.28,82,75,1.03,CA,1691614877
129,lihue,21.9789,-159.3672,29.77,62,75,8.75,US,1691614808
130,vigan,17.5747,120.3869,25.71,88,100,3.52,PH,1691614877
131,ancud,-41.8697,-73.8203,10.93,91,100,10.11,CL,1691614877
132,scarborough,54.2797,-0.4044,16.48,77,57,4.92,GB,1691614941
133,ariquemes,-9.9133,-63.0408,35.54,31,71,0.33,BR,1691614878
134,mongagua,-24.0931,-46.6208,21.79,95,100,4.95,BR,1691614878
135,iskateley,67.6803,53.1512,12.28,83,38,2.54,RU,1691614878
136,thunder bay,48.4001,-89.3168,23.95,38,40,6.17,CA,1691614504
137,paredon,16.0333,-93.8667,30.67,70,86,3.21,MX,1691614878
